ジャンル,問題文,答え
アニメ,『ドラえもん』の好物である、あずき餡を挟んだ和菓子は何？,どら焼き
アニメ,『ONE PIECE』の主人公モンキー・D・ルフィが食べた悪魔の実の名前は何？,ゴムゴムの実 (ヒトヒトの実 モデルニカ)
歴史,1603年に江戸幕府を開き、初代将軍となった歴史上の人物は誰？,徳川家康
歴史,794年に遷都され、明治維新まで日本の首都だった都市の名前は何？,平安京
科学,水が沸騰して気体になるとき、その気体の名前は何？,水蒸気
科学,地球の衛星で、満ち欠けをする天体は何？,月
スポーツ,サッカーで、手を使うことが許されている唯一のポジションは何？,ゴールキーパー
スポーツ,テニスで、1ゲーム中に一度もポイントを取れずに0点であることを何と言う？,ラブ
地理,日本で最も高い山、標高3776メートルの山の名前は何？,富士山
地理,世界で最も面積の広い、ユーラシア大陸の大部分を占める国はどこ？,ロシア
文学,『坊っちゃん』や『吾輩は猫である』を執筆した日本の文豪は誰？,夏目漱石
文学,シェイクスピアの四大悲劇の一つで、デンマーク王子の復讐を描いた作品は何？,ハムレット
アニメ,『スタジオジブリ』作品で、森の主である巨大な生き物と少女たちの交流を描いた作品は？,となりのトトロ
歴史,フランス革命でギロチン処刑された、ルイ16世の妃は誰？,マリー・アントワネット
科学,光が1年間に進む距離を基準にした、宇宙の距離を表す単位は何？,光年
地理,日本の都道府県で、最も面積が広く、農産業が非常に盛んな場所はどこ？,北海道
スポーツ,夏季オリンピックのシンボルマークに描かれている輪の数はいくつ？,5つ
文学,世界最古の長編小説とされる、紫式部が書いた文学作品は何？,源氏物語
アニメ,『名探偵コナン』で、主人公のコナンが所属する小学生のグループの名前は何？,少年探偵団
歴史,織田信長が明智光秀に急襲され自害した、京都にある寺院は何？,本能寺
科学,植物が光エネルギーを使って二酸化炭素と水から酸素を作る反応を何と言う？,光合成
地理,世界で最も長いとされる、アフリカ大陸を北上して地中海に注ぐ川は何？,ナイル川
スポーツ,野球で、バッターがノーヒットで出塁する四球のことを英語で何と言う？,フォアボール (ウォーク)
文学,『走れメロス』や『人間失格』を執筆した昭和の作家は誰？,太宰治
アニメ,『ポケットモンスター』の主人公サトシの最初の相棒である電気タイプのポケモンは？,ピカチュウ
歴史,聖徳太子が定めた、冠位の色で身分を表す制度を「冠位何階」と言う？,冠位十二階
科学,人間の体を構成する最も小さな生命の基本単位は何？,細胞
地理,日本で最も琵琶湖の面積が占める割合が大きい都道府県はどこ？,滋賀県
スポーツ,バスケットボールで、ゴールが決まったときに入る基本的な点数は何点？,2点 (または3点)
文学,『蜘蛛の糸』や『羅生門』を書いた大正期の作家は誰？,芥川龍之介
アニメ,『鬼滅の刃』の主人公、竈門炭治郎が身につけている耳飾りの柄は何？,旭日旗のような絵柄 (日輪)
歴史,平氏を滅ぼし、鎌倉幕府を開いた初代征夷大将軍は誰？,源頼朝
科学,最も軽い気体で、燃焼すると水ができる元素は何？,水素
地理,世界で最も高い、エベレスト山が属する山脈の名前は何？,ヒマラヤ山脈
スポーツ,卓球（ピンポン）で、1セットを勝ち取るために必要な点数は何点？,11点
文学,『銀河鉄道の夜』や『注文の多い料理店』を執筆した詩人・作家は誰？,宮沢賢治
アニメ,『新世紀エヴァンゲリオン』で、エヴァンゲリオン初号機に乗る主人公の少年は誰？,碇シンジ
歴史,アメリカ合衆国の初代大統領は誰？,ジョージ・ワシントン
科学,水溶液が酸性かアルカリ性かを調べるために使われる、赤や青の試験紙は何？,リトマス試験紙
地理,アメリカ合衆国の首都である、大統領官邸（ホワイトハウス）がある都市はどこ？,ワシントンD.C.
スポーツ,陸上競技の100メートル走で、現在の世界記録である9秒58を持つ選手は誰？,ウサイン・ボルト
文学,サン＝テグジュペリ作の、砂漠に不時着した操縦士とある星から来た少年の物語は何？,星の王子さま
アニメ,『進撃の巨人』の主人公で、巨人を駆逐することを誓った少年は誰？,エレン・イェーガー
歴史,日本の戦国時代を終わらせ、豊臣秀吉の次に天下統一を果たした幕府の初代将軍は誰？,徳川家康
科学,地球を取り巻く大気の大部分（約78％）を占める気体は何？,窒素
地理,日本の四国地方を構成する4つの県は、徳川、愛媛、高知とどこ？,香川県
スポーツ,フィギュアスケートで、前向きに踏み切って跳ぶ最も難易度の高いジャンプは何？,アクセルジャンプ
文学,『吾輩は猫である』の語り手である猫の主人の名前は何？,珍野苦沙弥 (ちんのくしゃみ)
アニメ,『呪術廻戦』の主人公で、特級呪物「両面宿儺の指」を喰らった少年は誰？,虎杖悠仁
歴史,邪馬台国の女王で、中国の魏に使いを送って「親魏倭王」の称号を得たのは誰？,卑弥呼
